release_date,movie,production_budget,domestic_gross,worldwide_gross
12/12/1966,A Man for All Seasons,"$3,900,000","$28,350,000","$28,350,000"
12/11/2015,American Hero,"$1,000,000",$0,$26
12/11/2015,The Ridiculous 6,"$60,000,000",$0,$0
12/11/2015,O Menino e o Mundo,"$500,000","$129,479","$280,967"
12/11/2015,In the Heart of the Sea,"$100,000,000","$25,020,758","$89,693,309"
12/11/2015,The Big Short,"$28,000,000","$70,259,870","$133,162,752"
12/11/2015,Close Range,"$3,000,000",$0,$0
12/11/2009,The Lovely Bones,"$95,000,000","$44,114,232","$94,894,448"
12/11/2009,Invictus,"$60,000,000","$37,491,364","$124,514,011"
12/11/2009,A Single Man,"$7,000,000","$9,176,000","$28,142,379"
12/11/2009,Rocket Singh: Salesman of the Year,"$1,070,000","$164,649","$5,348,767"
12/11/2007,High School Musical 2,"$7,000,000",$0,$0
12/11/1998,Shakespeare in Love,"$26,000,000","$100,317,794","$279,500,000"
12/11/1998,A Simple Plan,"$17,000,000","$16,316,273","$16,316,273"
12/11/1998,Rushmore,"$10,000,000","$17,105,219","$19,080,435"
12/11/1998,Jack Frost,"$50,000,000","$34,645,374","$34,645,374"
12/11/1998,Star Trek: Insurrection,"$70,000,000","$70,187,658","$117,800,000"
12/11/1995,Sense and Sensibility,"$16,500,000","$42,993,774","$134,993,774"
12/11/1992,The Muppet Christmas Carol,"$12,000,000","$27,281,507","$27,492,918"
12/11/1992,A Few Good Men,"$33,000,000","$141,340,178","$236,500,000"
12/11/1991,Hook,"$70,000,000","$119,654,823","$300,854,823"
12/11/1987,Wall Street,"$16,500,000","$43,848,100","$43,848,100"
12/11/1974,The Godfather: Part II,"$13,000,000","$57,300,000","$57,300,000"
12/11/1968,Oliver!,"$10,000,000","$37,402,877","$37,402,877"
12/10/2014,The Gambler,"$25,000,000","$33,680,992","$38,718,031"
12/10/2010,The Fighter,"$11,000,000","$93,617,009","$129,262,388"
12/10/2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$104,386,950","$418,186,950"
12/10/2010,The Tourist,"$100,000,000","$67,631,157","$278,731,369"
12/10/2010,The Tempest,"$20,000,000","$277,943","$277,943"
12/10/2008,Wendy and Lucy,"$300,000","$865,695","$1,416,046"
12/10/2008,The Reader,"$32,500,000","$34,194,407","$112,964,875"
12/10/2004,Freeze Frame,"$2,000,000",$0,"$105,377"
12/10/2004,The Life Aquatic with Steve Zissou,"$50,000,000","$24,006,726","$34,806,726"
12/10/2004,Fabled,"$400,000","$31,425","$31,425"
12/10/2004,Ocean's Twelve,"$110,000,000","$125,531,634","$362,989,076"
12/10/2003,Big Fish,"$70,000,000","$66,432,867","$123,954,323"
12/10/1999,The Green Mile,"$60,000,000","$136,801,374","$290,701,374"
12/10/1999,Diamonds,"$11,900,000","$81,897","$81,897"
12/10/1999,Deuce Bigalow: Male Gigolo,"$18,000,000","$65,535,067","$92,935,067"
12/09/2016,Office Christmas Party,"$45,000,000","$54,767,494","$91,323,299"
12/09/2016,The Bounce Back,"$3,000,000","$321,910","$421,404"
12/09/2016,La La Land,"$20,000,000","$151,101,803","$426,351,163"
12/09/2011,The Sitter,"$25,000,000","$30,542,576","$38,749,404"
12/09/2011,Young Adult,"$12,000,000","$16,311,571","$22,750,356"
12/09/2011,New Yearâs Eve,"$26,000,000","$54,544,638","$146,850,273"
12/09/2011,Tinker Tailor Soldier Spy,"$21,000,000","$24,149,393","$81,452,811"
12/09/2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000","$291,710,957","$720,539,572"
12/09/2005,Mrs. Henderson Presents,"$20,000,000","$11,036,366","$27,836,366"
12/09/2005,Brokeback Mountain,"$13,900,000","$83,043,761","$176,980,863"
12/09/2005,Neal n' Nikki,"$1,300,000","$100,358","$329,621"
12/09/2005,Memoirs of a Geisha,"$85,000,000","$57,010,853","$161,510,853"
12/09/1994,Disclosure,"$55,000,000","$83,015,089","$212,200,000"
12/09/1988,Twins,"$15,000,000","$111,936,388","$216,600,000"
12/09/1988,My Stepmother Is an Alien,"$16,000,000","$13,854,000","$13,854,000"
12/09/1983,Scarface,"$25,000,000","$44,942,821","$44,942,821"
12/09/1981,Taps,"$14,000,000","$35,856,053","$35,856,053"
12/08/2017,"I, Tonya","$11,000,000","$30,014,534","$53,797,409"
12/08/2017,Just Getting Started,"$22,000,000","$6,069,605","$6,756,412"
12/08/2015,Amidst the Devil's Wings,"$300,000",$0,$0
12/08/2006,Apocalypto,"$40,000,000","$50,866,635","$121,032,272"
12/08/2006,The Holiday,"$85,000,000","$63,280,000","$205,190,324"
12/08/2006,Blood Diamond,"$100,000,000","$57,377,916","$171,377,916"
12/08/2006,Unaccompanied Minors,"$25,000,000","$16,655,224","$21,970,831"
12/08/2004,Blade: Trinity,"$65,000,000","$52,397,389","$131,353,165"
12/08/2000,Dungeons and Dragons,"$35,000,000","$15,185,241","$33,771,965"
12/08/2000,Proof of Life,"$65,000,000","$32,598,931","$62,761,005"
12/08/2000,"Crouching Tiger, Hidden Dragon","$15,000,000","$128,067,808","$213,514,672"
12/08/2000,Vertical Limit,"$75,000,000","$68,473,360","$213,500,000"
12/08/2000,Snatch,"$10,000,000","$30,093,107","$83,593,107"
12/08/1999,Cradle Will Rock,"$32,000,000","$2,899,970","$2,899,970"
12/08/1982,Gandhi,"$22,000,000","$52,767,889","$127,767,889"
12/08/1982,The Verdict,"$16,000,000","$53,977,250","$53,977,250"
12/07/2018,Mary Queen of Scots,"$25,000,000","$16,468,499","$46,734,733"
12/07/2018,Ben is Back,"$13,000,000","$3,703,182","$9,633,111"
12/07/2012,Deadfall,"$6,000,000","$66,351","$1,673,635"
12/07/2012,Khiladi 786,"$5,600,000","$385,422","$14,683,763"
12/07/2007,The Golden Compass,"$205,000,000","$70,107,728","$367,262,558"
12/07/2007,Atonement,"$30,000,000","$50,980,159","$129,779,728"
12/07/2007,Timber Falls,"$2,600,000",$0,"$71,248"
12/07/2005,The World's Fastest Indian,"$25,000,000","$5,128,124","$18,991,288"
12/07/2001,No Man's Land,"$1,000,000","$1,067,481","$2,684,207"
12/07/2001,Ocean's Eleven,"$85,000,000","$183,417,150","$450,728,529"
12/07/2001,The Business of Strangers,"$6,000,000","$1,030,920","$1,290,920"
12/07/1990,Edward Scissorhands,"$20,000,000","$53,976,987","$53,976,987"
12/07/1979,Star Trek: The Motion Picture,"$35,000,000","$82,258,456","$139,000,000"
12/06/2016,Oddball,"$7,000,000",$0,"$10,237,229"
12/06/2013,Inside Llewyn Davis,"$11,000,000","$13,248,209","$32,943,247"
12/06/2013,The Last Days on Mars,"$10,600,000","$24,084","$261,364"
12/06/2013,Khumba,"$15,000,000",$0,"$20,898,221"
12/06/2002,Empire,"$3,500,000","$17,504,595","$18,495,444"
12/06/2002,Equilibrium,"$20,000,000","$1,190,018","$5,345,869"
12/06/2002,Adaptation,"$18,500,000","$22,498,520","$32,531,759"
12/06/2002,Analyze That,"$60,000,000","$32,122,249","$54,994,757"
12/06/1996,Daylight,"$80,000,000","$32,908,290","$158,908,290"
12/06/1996,Everyone Says I Love You,"$20,000,000","$9,725,847","$34,600,000"
12/06/1991,Star Trek VI: The Undiscovered Country,"$27,000,000","$74,888,996","$96,900,000"
12/05/2014,Dying of the Light,"$5,000,000",$0,"$74,639"
12/05/2008,Punisher: War Zone,"$35,000,000","$8,050,977","$10,157,534"
12/05/2008,Cadillac Records,"$12,000,000","$8,195,551","$8,942,516"
12/05/2008,Frost/Nixon,"$29,000,000","$18,622,031","$28,452,945"
12/05/2007,Juno,"$7,000,000","$143,495,265","$231,450,102"
12/05/2006,Black Christmas,"$9,000,000","$16,235,738","$16,235,738"
